orig order,Date,Sampling week,Time,Cross,Treatment,Rep,YII (meristem),YII (above/tipward of 10cm holepunch),Female GP ID,Male GP ID,Heat tested Female GP,Heat tested Male GP,Female GP % change,Female GP ranking,Male GP % change,Male GP ranking,,,,,,,,,,,,,,,,
209,6/13/23,Week 1,,116,A,2,0.481,,SA18-CB-7-FG1,SL18-UCONN-S4-MG3,SA18-CB-7-FG1,#N/A,(eliminated as dead),,,,,,,,,,,,,,,,,,,
155,6/13/23,Week 1,,120,A,2,0.641,,SL18-SF-17-FG2,SA18-CB-7-MG3,SL18-SF-17-FG2,#N/A,-44.008511,15,,,,,,,,,,,,,,,,,,
173,6/13/23,Week 1,,128,A,2,0.649,,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
182,6/13/23,Week 1,,130,A,2,0.605,,SL18-CC-3-FG2,SL18-CC-7-MG1,SL18-CC-3-FG2,#N/A,-68.808757,36,,,,,,,,,,,,,,,,,,
56,6/12/23,Week 1,,133,A,2,0.716,,SL18-OI-6-FG2,SL18-OI-6-MG2,SL18-OI-6-FG2,SL18-OI-6-MG2,-21.175178,6,-93.83737,89,,,,,,,,,,,,,,,,
164,6/13/23,Week 1,,136,A,2,0.491,,SL18-CC-5-FG2,SA18-CB-10-MG1,#N/A,SA18-CB-10-MG1,,,-85.12983,71,,,,,,,,,,,,,,,,
65,6/12/23,Week 1,,138,A,2,0.585,,SL18-CC-3-FG2,SL18-OD-6-MG1,SL18-CC-3-FG2,SL18-OD-6-MG1,-68.808757,36,-90.257688,81,,,,,,,,,,,,,,,,
74,6/12/23,Week 1,,139,A,2,0.617,,SA18-CB-4-FG6,SL18-JS-19-MG1,SA18-CB-4-FG6,SL18-JS-19-MG1,-17.43129,5,0.30367682,2,,,,,,,,,,,,,,,,
92,6/12/23,Week 1,,141,A,2,0.657,,SL18-LD-13-FG1,SL18-LD-2-MG2,SL18-LD-13-FG1,SL18-LD-2-MG2,-69.65774,38,-81.133004,64,,,,,,,,,,,,,,,,
191,6/13/23,Week 1,,144,A,2,0.635,,SA18-CB-4-FG6,SL18-OI-14-MG1,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
2,6/12/23,Week 1,,157,A,2,0.65,,SL18-OI-6-FG2,SA18-CB-4-MG2,SL18-OI-6-FG2,SA18-CB-4-MG2,-21.175178,6,-93.012556,88,,,,,,,,,,,,,,,,
146,6/13/23,Week 1,,158,A,2,0.484,,SA18-CB-4-FG6,SA18-CB-1-MG13,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
11,6/12/23,Week 1,,160,A,2,0.696,,SL18-LL-9-FG3,SL18-LD-2-MG2,SL18-LL-9-FG3,SL18-LD-2-MG2,-55.10044,20,-81.133004,64,,,,,,,,,,,,,,,,
20,6/12/23,Week 1,,161,A,2,0.68,,SA18-CB-4-FG6,SL18-LD-2-MG2,SA18-CB-4-FG6,SL18-LD-2-MG2,-17.43129,5,-81.133004,64,,,,,,,,,,,,,,,,
47,6/12/23,Week 1,,174,A,2,0.686,,SL18-OI-6-FG2,SL18-LD-9-MG1,SL18-OI-6-FG2,SL18-LD-9-MG1,-21.175178,6,-88.023499,76,,,,,,,,,,,,,,,,
38,6/12/23,Week 1,,175,A,2,0.615,,SL18-CC-3-FG2,SL18-OI-11-MG3,SL18-CC-3-FG2,#N/A,-68.808757,36,,,,,,,,,,,,,,,,,,
137,6/13/23,Week 1,175 was measured twice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,6/13/23,Week 1,,176,A,2,0.632,,SL18-CC-5-FG3,SA18-CB-4-MG2,SL18-CC-5-FG3,SA18-CB-4-MG2,-27.632169,8,-93.012556,88,,,,,,,,,,,,,,,,
29,6/12/23,Week 1,,179,A,2,0.614,,SL18-OI-11-FG3,SL18-JS-19-MG1,SL18-OI-11-FG3,SL18-JS-19-MG1,-67.011547,35,0.30367682,2,,,,,,,,,,,,,,,,
111,6/13/23,Week 1,,40,A,3,0.688,,SL18-JS-19-MG1,SL18-JS-19-MG1,#N/A,SL18-JS-19-MG1,,,0.30367682,2,,,,,,,,,,,,,,,,
228,6/13/23,Week 1,,46,A,3,0.649,,SA18-CB-4-FG6,SL18-NC-2-MG3,SA18-CB-4-FG6,#N/A,-17.43129,5,,,,,,,,,,,,,,,,,,
84,6/12/23,Week 1,,47,A,3,0.644,,SL18-OI-6-FG2,SL18-OD-6-MG1,SL18-OI-6-FG2,SL18-OD-6-MG1,-21.175178,6,-90.257688,81,,,,,,,,,,,,,,,,
237,6/13/23,Week 1,,49,A,3,0.549,,SL18-CC-5-FG3,SL18-CC-7-MG1,SL18-CC-5-FG3,#N/A,-27.632169,8,,,,,,,,,,,,,,,,,,
255,6/13/23,Week 1,,51,A,3,0.547,,SL18-CC-5-FG3,SL18-OI-14-MG1,SL18-CC-5-FG3,#N/A,-27.632169,8,,,,,,,,,,,,,,,,,,
129,6/13/23,Week 1,,59,A,3,0.638,,SL18-SF-13-FG2,SL18-LL-9-MG4,SL18-SF-13-FG2,SL18-LL-9-MG4,-78.138399,59,-80.72347,63,,,,,,,,,,,,,,,,
264,6/13/23,Week 1,,61,A,3,0.617,,SL18-CC-1-FG1,SL18-LD-9-MG1,#N/A,SL18-LD-9-MG1,,,-88.023499,76,,,,,,,,,,,,,,,,
246,6/13/23,Week 1,,70,A,3,0.604,,SL18-OI-6-FG2,SL18-CC-7-MG1,SL18-OI-6-FG2,#N/A,-21.175178,6,,,,,,,,,,,,,,,,,,
201,6/13/23,Week 1,,81,A,3,0.62,,SL18-CC-1-FG1,SL18-OI-6-MG2,#N/A,SL18-OI-6-MG2,,,-93.83737,89,,,,,,,,,,,,,,,,
219,6/13/23,Week 1,,84,A,3,0.674,,SL18-SF-13-FG2,SL18-UCONN-S5-MG1,SL18-SF-13-FG2,#N/A,-78.138399,59,,,,,,,,,,,,,,,,,,
102,6/12/23,Week 1,,85,A,3,0.501,,SL18-CC-5-FG3,SL18-OI-6-MG2,SL18-CC-5-FG3,SL18-OI-6-MG2,-27.632169,8,-93.83737,89,,,,,,,,,,,,,,,,
210,6/13/23,Week 1,,116,A,3,0.662,,SA18-CB-7-FG1,SL18-UCONN-S4-MG3,SA18-CB-7-FG1,#N/A,(eliminated as dead),,,,,,,,,,,,,,,,,,,
156,6/13/23,Week 1,,120,A,3,0.662,,SL18-SF-17-FG2,SA18-CB-7-MG3,SL18-SF-17-FG2,#N/A,-44.008511,15,,,,,,,,,,,,,,,,,,
